Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
AAFT University of Media and Arts,,Raipur (Chhattisgarh),Status ungeklärt,H +/-,Indien
Abhilashi University,,Mandi (Himachal Pradesh),Private University,H+,Indien
ABV - Indian Institute of Information Technology and ManagementAtal Bihari Vajpayee Indian Institute of Information Technology and Management,,Gwalior (Madhya Pradesh),Institution of National Importance,H+,Indien
Academy of Maritime Education and Training,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Academy of Scientific and Innovative Research,,Ghaziabad (Uttar Pradesh),Institution of National Importance,H+,Indien
Acharya N. G. Ranga Agricultural UniversityAndhra Pradesh Agricultural University (APAU),,Guntur (Andhra Pradesh),State University,H+,Indien
Acharya Nagarjuna UniversityNagarjuna University,,Guntur (Andhra Pradesh),State University,H+,Indien
Acharya Narendra Deva University Of Agriculture And TechnologyNarendra Deva University of Agriculture and Technology,,Faizabad (Uttar Pradesh),State University,H+,Indien
Adamas University,,Kolkata (West Bengal),Private University,H+,Indien
Adani University,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
Adesh University,,Bathinda (Punjab),Private University,H+,Indien
Adhyatmik VishwavidyalaySpiritual UniversityMaharshi University of SpiritualityMaharshi Adhyatma Vishwavidyalaya,,Rohini (Delhi),Nicht anerkannte Hochschule,H -,Indien
Adichunchanagiri University,,B G Nagara (Karnataka),Private University,H+,Indien
Adikavi Nannaya University,,Rajahmundry (Andhra Pradesh),State University,H+,Indien
ADR-Centric Juridical University,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
Agriculture University,,Jodhpur (Rajasthan),State University,H+,Indien
Ahmedabad University,,Ahmedabad (Gujarat),Private University,H+,Indien
AIPH University,,Bhubaneswar (Odisha),Status ungeklärt,H +/-,Indien
AISECT University,,Hazaribagh (Jharkhand),Status ungeklärt,H +/-,Indien
Ajeenkya D Y Patil University,,Pune (Maharashtra),Private University,H+,Indien
Akal University,,Bathinda (Punjab),Private University,H+,Indien
AKS University,,Satna (Madhya Pradesh),Private University,H+,Indien
Al-Falah University,,Faridabad (Haryana),Private University,H+,Indien
Al-Karim University,,Katihar (Bihar),Private University,H+,Indien
Alagappa University,,Karaikudi (Tamil Nadu),State University,H+,Indien
Alakh Prakash Goyal Shimla University,,Shimla (Himachal Pradesh),Private University,H+,Indien
Aliah University,,Kolkata (West Bengal),State University,H+,Indien
Aligarh Muslim University,,Aligarh (Uttar Pradesh),Central University,H+,Indien
Alipurduar University,,Alipurduar (West Bengal),State University,H+,Indien
"All India Institute of Medical Science, Raipur",,Raipur (Chhattisgarh),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Bathinda",,Bathinda (Punjab),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Bhopal",,Bhopal (Madhya Pradesh),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Bhubaneswar",,Bhubaneswar (Odisha),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Bibinagar",,Bibinagar (Telangana),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Deoghar",,Deoghar (Jharkhand),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Gorakhpur",,Gorakhpur (Uttar Pradesh),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Jodhpur",,Jodhpur (Rajasthan),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Kalyani",,Kalyani (West Bengal),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Mangalagiri",,Mangalagiri (Andhra Pradesh),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Nagpur",,Nagpur (Maharashtra),Institution of National Importance,H+,Indien
