Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Abia State UniversityImo State University,,Uturu,State University,H+,Nigeria
"Abubakar Tafawa Balewa University, BauchiFederal University of Technology, BauchiAbubakar Tafawa Balewa University of Technology",,Bauchi,Federal University,H+,Nigeria
Academy of Dramatic Arts & Music,,Lagos,Einrichtung ohne Hochschulrang,H -,Nigeria
Achievers University,,Owo,Privatuniversität,H+,Nigeria
Adamawa State University,,Mubi,State University,H+,Nigeria
Adekunle Ajasin UniversityOndo State University (1985 - 2004)Obafemi Awolowo University (1982 - 1985),,Akungba-Akoko,State University,H+,Nigeria
Adeleke University,,Ede,Privatuniversität,H+,Nigeria
Afe Babalola University,,Ado-Ekiti,Privatuniversität,H+,Nigeria
African University of Science and Technology,,Abuja,Privatuniversität,H+,Nigeria
"Ahmadu Bello UniversityNigerian College of Arts, Science and Technology (NCAST)",,Zaria,Federal University,H+,Nigeria
Ahman Pategi University,,Patigi,Privathochschule,H+,Nigeria
"Air Force Institute of Technology, Kaduna",,Kaduna,Federal University,H+,Nigeria
"Ajayi Crowther UniversityAjayi Crowther University, Ibadan",,Oyo,Privatuniversität,H+,Nigeria
Akanu Ibiam Federal PolytechnicAkanu Ibiam Polytechnic,,Afikpo,Polytechnic,H -,Nigeria
Akwa Ibom State UniversityAkwa Ibom State University of Technology (AKUTECH),,Uyo,State University,H+,Nigeria
Al-Hikmah University,,Ilorin,Privatuniversität,H+,Nigeria
Al-Istqama University,,Sumaila,Privathochschule,H+,Nigeria
"Al-Qalam University, KatsinaKatsina University",,Katsina,Privatuniversität,H+,Nigeria
"Alex Ekwueme Federal University Ndufu-Alike, IkwoFederal University Ndufu-Alike",,Ndufu-Alike,Federal University,H+,Nigeria
Allover Central PolytechnicAllover Polytechnic,,Sango Ota,Einrichtung ohne Hochschulrang,H -,Nigeria
Alvan Ikoku College of Education,,Owerri,Einrichtung ohne Hochschulrang,H -,Nigeria
Ambrose Alli UniversityEdo State UniversityBendel State University,,Ekpoma,State University,H+,Nigeria
American University of NigeriaABTI American University,,Yola,Privatuniversität,H+,Nigeria
Anan University,,Kwall,Privathochschule,H+,Nigeria
Anchor University Ayobo Lagos State,,Lagos,Privatuniversität,H+,Nigeria
Augustine University Ilara,,Ilara-Epe,Privatuniversität,H+,Nigeria
Ave-Maria University,,Piyanko,Privathochschule,H+,Nigeria
Babcock University,,Ilishan Remo,Privatuniversität,H+,Nigeria
Bagauda University of Science and Technology,,Kano,Universität,H+,Nigeria
"Bamidele Olumilua University of Education, Science and TechnologyUniversity of Education",,Ikere Ekiti,Universität,H+,Nigeria
Bauchi State University,,Gadau,State University,H+,Nigeria
Bayero UniversityAhmadu Bello CollegeAbdullahi Bayero CollegeBayero University College,,Kano,Federal University,H+,Nigeria
Baze University,,Abuja,Privatuniversität,H+,Nigeria
Bells University of Technology,,Ota,Privatuniversität,H+,Nigeria
