Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Adventist University of Africa,,Nairobi,Akkreditierte private Universität,H+,Kenia
Africa International UniversityNairobi Evangelical Graduate School of Theology (1983-2011)The Nairobi Evangelical Graduate School of Theology (1983-2011),,Nairobi,Akkreditierte private Universität,H+,Kenia
Africa Nazarene University,,Nairobi,Akkreditierte private Universität,H+,Kenia
African Virtual University,,Nairobi,Universität,H+,Kenia
"Aga Khan UniversityThe Aga Khan UniversityAga Khan University Hospital, NairobiAga Khan University Teaching Hospital",,Nairobi,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
Apostles of Jesus Philosphieum,,Nairobi,Katholische Hochschule kanonischen Rechts,H+,Kenia
Apostles of Jesus Scholasticate,,Nairobi,Katholische Hochschule kanonischen Rechts,H+,Kenia
Catholic University of Eastern AfricaThe Catholic University of Eastern AfricaCatholic Higher Institute of Eastern Africa (1984-1992),,Nairobi,Akkreditierte private Universität,H+,Kenia
Christ the King Major Seminary,,Nyeri,Katholische Hochschule kanonischen Rechts,H+,Kenia
"Chuka UniversityChuka University College (2007-2013)Egerton University Eastern Campus College, Chuka (2004-2007)",,Chuka,Staatliche Universität,H+,Kenia
Consolata Institute of Philosophy,,Nairobi,Katholische Hochschule kanonischen Rechts,H+,Kenia
Daystar UniversityDaystar University College (1984-1994),,Nairobi,Akkreditierte private Universität,H+,Kenia
Dedan Kimathi University of TechnologyKimathi Institute of Technology (1978-2007)Kimathi University College of Technology (2007-2012),,Nyeri,Staatliche Universität,H+,Kenia
Egerton UniversityEgerton Agricultural College (1955-1987)Egerton Farm School (1939-1955),,Njoro,Staatliche Universität,H+,Kenia
Garissa UniversityGarissa Teacher Training College (bis 2011)Garissa University College (bis 2017),,Garissa,Staatliche Universität,H+,Kenia
Genco University,,Nairobi,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
Great Lakes University of Kisumu,,Kisumu,Akkreditierte private Universität,H+,Kenia
Gretsa University,,Thika,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
Hekima University CollegeHekima CollegeHekima College School of Theology,,Nairobi,An private Universität angeschlossenes College,H +/-,Kenia
Inoorero UniversityInternational University of Professional StudiesKenya School of Professional Studies (1983-2009),,Nairobi,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
International Leadership UniversityNairobi International School of Theology (1989-2014)The Nairobi International School of Theology (1989-2014),,Nairobi,"Private Universität im Akkreditierungsverfahren / ""Interim Authority""",H +/-,Kenia
Jaramogi Oginga Odinga University of Science and TechnologyBondo University College (2009-2013),,Bondo,Staatliche Universität,H+,Kenia
Jomo Kenyatta University of Agriculture and TechnologyJomo Kenyatta College of Agriculture and Technology (1981-1988)Jomo Kenyatta University College of Agriculture and Technology (1988-1994),,Nairobi,Staatliche Universität,H+,Kenia
Kabarak University,,Kabarak,Akkreditierte private Universität,H+,Kenia
KAG - East UniversityKAG East UniversityEast Africa School of TheologyNorthern Tanzania Bible School (1968-1979),,Nairobi,Akkreditierte private Universität,H+,Kenia
